kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
denní stacionáře,Denní stacionáře (4659709),"Akord, Organizační jednotka - DENNÍ STACIONÁŘ","Záhřebská 626/36, Praha 2-Vinohrady, 120 00 Praha 2",68403844,Denní stacionář AKORD,Irena Dušková,"Záhřebská 626/36, Praha 2-Vinohrady, 120 00 Praha 2",30.10.1995,ambulantní,"osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením",Služba je určena pro uživatele od 6 do 45 let věku.,"počet klientů - 15
Služba je přístupná denně (po - pá) pro 15 uživatelů ve věku 6 - 45 let se středně těžkým postižením. Při přítomnosti klientů s těžkým postižením se kapacita služby úměrně snižuje.","pondělí:
7:00 - 17:00
úterý:
7:00 - 17:00
středa:
7:00 - 17:00
čtvrtek:
7:00 - 17:00
pátek:
7:00 - 17:00
sobota:
neděle:","['222 519 716', '602 393 668', 'dsakord@grbox.cz', 'www.dsakord.cz']"
denní stacionáře,Denní stacionáře (2603805),"ALKA, o.p.s.","Podbrdská 269, Příbram V-Zdaboř, 261 01 Příbram 1",27240185,Denní stacionář ALKA,Mgr. Robert Dikan,"Podbrdská 269, Příbram V-Zdaboř, 261 01 Příbram 1",1.1.2011,ambulantní,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením","dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)","počet klientů - 30
Maximální denní kapacita služby 15 uživatelů.","pondělí:
7:30 - 16:00
úterý:
7:30 - 16:00
středa:
7:30 - 16:00
čtvrtek:
7:30 - 16:00
pátek:
7:30 - 16:00
sobota:
neděle:","['601 593 158', '318 654 242', 'kancelar@alkaops.cz', 'www.alkaops.cz']"
denní stacionáře,Denní stacionáře (5293571),"ALVALÍDA, z.s.","Hanychovská 743/3, Liberec III-Jeřáb, 460 07 Liberec 7",44224711,Denní stacionář Alvalída,Svatava Zemanová,"Hanychovská 743/3, Liberec III-Jeřáb, 460 07 Liberec 7",1.1.2007,ambulantní,"osoby s kombinovaným postižením
Denní stacionář Alvalída poskytuje sociální služby dětem, mládeži a dospělým lidem s mentálním a kombinovaným postižením ve věku od 7 do 64 let. Skupina je koedukovaná. Skupina se dělí na menší v návaznosti na různé životní potřeby a etapy. Jiné jsou potřeby a cíle dětí, jiné dospívajících a jiné dospělých. Dělení zohledňuje věk, přání , cíle a stupěň znevýhodnění konkrétního uživatele. Sociální služba v Denním stacionáři Alvalída je určena osobám, jejichž zdravotní znevýhodnění vyžaduje stálou pomoc jiné fyzické osoby.
osoby s mentálním postižením
Denní stacionář Alvalída poskytuje sociální služby dětem, mládeži a dospělým lidem s mentálním a kombinovaným postižením ve věku od 7 do 64 let. Skupina je koedukovaná. Skupina se dělí na menší v návaznosti na různé životní potřeby a etapy. Jiné jsou potřeby a cíle dětí, jiné dospívajících a jiné dospělých. Dělení zohledňuje věk, přání , cíle a stupěň znevýhodnění konkrétního uživatele. Sociální služba v Denním stacionáři Alvalída je určena osobám, jejichž zdravotní znevýhodnění vyžaduje stálou pomoc jiné fyzické osoby.","mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)","počet klientů - 21
Jedná se o maximální denní kapacitu.","pondělí:
6:00 - 16:00
úterý:
6:00 - 16:00
středa:
6:00 - 16:00
čtvrtek:
6:00 - 16:00
pátek:
6:00 - 16:00
sobota:
neděle:","['910 080 446', '910 080 447', 'alvalida@seznam.cz', 'www.alvalida.wz.cz']"
denní stacionáře,Denní stacionáře (3358568),Alzheimercentrum Filipov z.ú.,"Zámecká 1/25, Filipov, 286 01 Čáslav",28441397,"Alzheimercentrum Filipov, z.ú.",Jana Střihavková,"Zámecká 1/25, Filipov, 286 01 Čáslav",1.3.2012,ambulantní,"osoby s chronickým duševním onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby se zdravotním postižením","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 10,"pondělí:
7:00 - 19:00
úterý:
7:00 - 19:00
středa:
7:00 - 19:00
čtvrtek:
7:00 - 19:00
pátek:
7:00 - 19:00
sobota:
neděle:","['774 774 016', '774 774 010', 'filipov@alzheimercentrum.cz', 'http://www.alzheimercentrum.cz']"
denní stacionáře,Denní stacionáře (7492138),"Alzheimercentrum Prácheň, z.ú.","Sokolovská 675/9, Praha 8-Karlín, 186 00 Praha 86",25156349,"Alzheimercentrum Prácheň, z.ú.",Bc. Lucie Myslíková,"Radčice 58, 389 01 Vodňany",31.1.2013,ambulantní,"osoby s chronickým duševním onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby se zdravotním postižením","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 10,"pondělí:
7:00 - 19:00
úterý:
7:00 - 19:00
středa:
7:00 - 19:00
čtvrtek:
7:00 - 19:00
pátek:
7:00 - 19:00
sobota:
neděle:","['773 377 020', '773 377 010', 'louckymlyn@alzheimercentrum.cz', 'www.alzheimercentrum.cz']"
denní stacionáře,Denní stacionáře (5778573),"Alzheimercentrum Prácheň, z.ú.","Sokolovská 675/9, Praha 8-Karlín, 186 00 Praha 86",25156349,"Alzheimercentrum Prácheň, z.ú.",Bc. Lucie Myslíková,"Nádražní 506/40, Budějovické Předměstí, 397 01 Písek 1",31.1.2013,ambulantní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 10,"pondělí:
7:00 - 19:00
úterý:
7:00 - 19:00
středa:
7:00 - 19:00
čtvrtek:
7:00 - 19:00
pátek:
7:00 - 19:00
sobota:
neděle:","['773 377 010', '773 377 020', 'louckymlyn@alzheimercentrum.cz', 'pisek@alzheimercentrum.cz', 'www.alzheimercentrum.cz']"
denní stacionáře,Denní stacionáře (4977650),"Alzheimercentrum Průhonice, z.ú.","Na Michovkách I 707, 252 43 Průhonice",29029651,Alzheimercentrum Průhonice z.ú.,"Mgr. Bc. Marie Brilová, MBA","Na Michovkách I 707, 252 43 Průhonice",1.3.2012,ambulantní,"osoby s chronickým duševním onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby se zdravotním postižením","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 10,"pondělí:
7:00 - 19:00
úterý:
7:00 - 19:00
středa:
7:00 - 19:00
čtvrtek:
7:00 - 19:00
pátek:
7:00 - 19:00
sobota:
neděle:","['773 377 045', '774 774 065', 'reditel.pruhonice@alzheimercentrum.cz', 'www.alzheimercentrum.cz']"
denní stacionáře,Denní stacionáře (2282152),"Alzheimercentrum Zlosyň, z.ú.","Zlosyň 160, 277 44 Vojkovice u Kralup n.Vlt.",28446003,"Alzheimercentrum Zlosyň, z.ú.","Mgr. Dana Jarešová, MBA","Zlosyň 160, 277 44 Vojkovice u Kralup n.Vlt.",1.3.2012,ambulantní,"osoby s chronickým duševním onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby se zdravotním postižením","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet klientů - 10,"pondělí:
7:00 - 19:00
úterý:
7:00 - 19:00
středa:
7:00 - 19:00
čtvrtek:
7:00 - 19:00
pátek:
7:00 - 19:00
sobota:
neděle:","['774 774 026', '774 774 020', 'zlosyn@alzheimercentrum.cz', 'http://www.alzheimercentrum.cz']"
denní stacionáře,Denní stacionáře (2476364),"""Anděl"", z.s.","Kelč 290, 756 43 Kelč",66934702,Denní stacionář - Anděl,Marta Leinertová,"Kelč 290, 756 43 Kelč",28.2.2002,ambulantní,"osoby s kombinovaným postižením
osoby s mentálním postižením","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)","počet klientů - 10
okamžitá kapacita","pondělí:
6:30 - 15:00
úterý:
6:30 - 15:00
středa:
6:30 - 15:00
čtvrtek:
6:30 - 15:00
pátek:
6:30 - 15:00
sobota:
neděle:","['603334936', '571 641 270', 'sdruzeniandel@tiscali.cz']"
denní stacionáře,Denní stacionáře (8477167),"ANIMA ČÁSLAV, o.p.s.","Svat. Čecha 441/5, Čáslav-Nové Město, 286 01 Čáslav",27226751,"ANIMA ČÁSLAV, o.p.s.",Mgr. Eva Medková,"Svat. Čecha 441/5, Čáslav-Nové Město, 286 01 Čáslav",1.7.2005,ambulantní,"osoby s jiným zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 12
okamžitá kapacita","pondělí:
7:00 - 18:00
úterý:
7:00 - 18:00
středa:
7:00 - 18:00
čtvrtek:
7:00 - 18:00
pátek:
7:00 - 18:00
sobota:
neděle:","['327 313 039', '327 312 678', 'anima.caslav@centrum.cz', 'http://www.anima-pecovatelska-sluzba.cz']"
