kategorie;zarizeni;nazev_poskytovatele;adresa_poskytovatele;ico;nazev_zarizeni_poskytovatele;vedouci_zarizeni;adresa_zarizeni_poskytovatele;datum_sluzba_od;forma_poskytovani_soc_sluz;cilova_skupina_klientu;vekova_kategorie;pocet_luzek;provozni_doba;kontakty
raná péče;Raná péče (6431660);AlFi, z.s.;Koblovská 257/134, Petřkovice, 725 29 Ostrava 29;2801426;Raná péče pro rodiny s dětmi s PAS;Mgr. Gabriela Mariánková;Brandlova 1267/6, Moravská Ostrava, 702 00 Ostrava 2;1.4.2015;ambulantní;"osoby se zdravotním postižením
osoby s poruchou autistického spektra
rodiny s dítětem/dětmi
rodiny s dětmi s poruchou autistického spektra";děti předškolního věku (1 - 7 let);počet klientů - 2;"pondělí:
úterý:
středa:
8:00 - 15:00 - po telefonické domluvě
čtvrtek:
pátek:
sobota:
neděle:";[‘603337641', 'info@alfi-ostrava.cz', 'http://www.alfi-ostrava.cz']
raná péče;Raná péče (3861284);APLA Jižní Čechy, z.ú.;Farského 887/17, Tábor, 390 02 Tábor 2;28552288;Raná péče APLA Jižní Čechy;Mgr. Petra Marešová, DiS.;Jírovcova 1339/43, České Budějovice 3, 370 01 České Budějovice 1;1.10.2015;ambulantní;"osoby s jiným zdravotním postižením
Děti do 7 let věku, u nichž je podezření či je již diagnostikována porucha autistického spektra (dětský autismus, atypický autismus, Rettův syndrom, Aspergerův syndrom, dezintegrační poruchy v dětství).
osoby se zdravotním postižením
rodiny s dítětem/dětmi
Rodiče dětí do 7 let věku, u nichž je podezření či je již diagnostikována porucha autistického spektra (dětský autismus, atypický autismus, Rettův syndrom, Aspergerův syndrom, dezintegrační poruchy v dětství).";děti předškolního věku (1 - 7 let);"počet klientů - 2
jedná se o maximální okamžitou kapacitu v pondělí na pracovišti v ČB, kdy může být služba poskytnuta v daný okamžik 2 klientům (dětem do 7 let věku). V úterý na pracovišti v ČB a na pracovišti v Táboře je maximální okamžitá kapacita 1 klient (dítě do 7 let věku). Při setkávání rodin rané péče je to 6 klientů či rodin v daný okamžik.";"pondělí:
9:00 - 15:00 - pracoviště České Budějovice
úterý:
9:00 - 15:00 - pracoviště Tábor, 9:00 - 15:00 - pracoviště České Budějovice
středa:
čtvrtek:
pátek:
sobota:
neděle:";['608666168‘, 'info@aplajc.cz', 'www.aplajc.cz' ]
raná péče;Raná péče (9794962);Arpida, centrum pro rehabilitaci osob se zdravotním postižením, z.ú.;U Hvízdala 1402/9, České Budějovice 2, 370 11 České Budějovice 11;65053079;Arpida, centrum pro rehabilitaci osob se zdravotním postižením, z.ú.;neuveden;U Hvízdala 1402/9, České Budějovice 2, 370 11 České Budějovice 11;1.1.2008;ambulantní;"osoby s kombinovaným postižením
osoby s tělesným postižením
rodiny s dítětem/dětmi";děti do 7 let;"počet klientů - 4
- jedná se o okamžitou kapacitu/klient=rodina";"pondělí:
8:00 - 12:00
úterý:
8:00 - 12:00
středa:
8:00 - 12:00
čtvrtek:
8:00 - 12:00
pátek:
8:00 - 12:00
sobota:
neděle:";[‘385777011’, 'ranapece@arpida.cz', 'http://www.arpida.cz']
"raná péče ";Raná péče (2236030);Autis Centrum, o.p.s.;Plzeňská 2219/44, České Budějovice 3, 370 04 České Budějovice 4;2426374;Autis Centrum, o.p.s.;neuveden;Plzeňská 2219/44, České Budějovice 3, 370 04 České Budějovice 4;;ambulantní, terénní;"osoby se zdravotním postižením
rodiny s dítětem/dětmi";děti kojeneckého věku ( do 1 roku) děti předškolního věku (1 - 7 let);počet klientů - 2;"pondělí:
7:30 - 16:00
úterý:
7:30 - 16:00
středa:
7:30 - 16:00
čtvrtek:
7:30 - 16:00
pátek:
7:30 - 16:00
sobota:
neděle:";['606046118', 'info@auticentrum.cz', 'www.auticentrum.cz']
raná péče;Raná péče (7488093);Auxilium o.p.s.;Hošťálková 428, 756 22 Hošťálková u Vsetína;2083825;Centrum Auxilium;Božena Mikulíková;Nemocniční 945, Vsetín, 755 01 Vsetín 1;1.1.2014;terénní;"osoby s jiným zdravotním postižením
(děti s poruchami autistického spektra a nerovnoměrným vývojem)
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
rodiny s dítětem/dětmi
(s dětmi, jejichž vývoj je ohrožen zdravotním postižením nebo nerovnoměrným vývojem)";děti kojeneckého věku ( do 1 roku) děti předškolního věku (1 - 7 let);"počet klientů - 2
40 aktivních smluv o péči Územní působnost: regiony měst Vsetín, Valašské Meziříčí, Rožnov pod Radhoštěm, v mimořádných situacích v regionu přilehlých oblastí Zlínského kraje";"pondělí:
8:00 - 18:00
úterý:
8:00 - 18:00
středa:
8:00 - 18:00
čtvrtek:
8:00 - 18:00
pátek:
8:00 - 18:00
sobota:
neděle:";['603823293', 'bozena.mikulikova@auxilium.cz', 'www.auxilium.cz']
raná péče;Raná péče (3346325);Centrum LIRA, z.ú.;Matoušova 406/20, Liberec III-Jeřáb, 460 07 Liberec 7;28731191;Centrum LIRA, z. ú.;PaedDr. Alexandra Bečvářová;třída Edvarda Beneše 1549/34, Nový Hradec Králové, 500 12 Hradec Králové 12;1.1.2015;ambulantní;"rodiny s dítětem/dětmi
Služba je poskytována rodinám s dětmi se zdravotním postižením nebo ohrožením vývoje v oblasti zrakové, mentální, pohybové, rodinám s dětmi s kombinovaným postižením a rodinám s dětmi s poruchou autistického spektra.";služba je poskytována rodinám s dětmi ve věku 0 - 7 let, bez ohledu na věk zákonných zástupců;"počet klientů - 2
Maximální okamžitá kapacita, 1 klient=1 rodina. U skupinových aktivit jemaximální kapacita vyšší.";"pondělí:
8:00 - 17:00 - dle dohody v uvedené době
úterý:
8:00 - 17:00 - dle dohody v uvedené době
středa:
8:00 - 17:00 - dle dohody v uvedené době
čtvrtek:
9:00 - 16:00
pátek:
8:00 - 17:00 - dle dohody v uvedené době
sobota:
neděle:";['724400832', 'info@centrumlira.cz', 'www.centrumlira.cz']
raná péče;Raná péče (3959325);Centrum LIRA, z.ú.;Matoušova 406/20, Liberec III-Jeřáb, 460 07 Liberec 7;28731191;Centrum LIRA, z. ú.;PaedDr. Alexandra Bečvářová;Matoušova 406/20, Liberec III-Jeřáb, 460 07 Liberec 7;1.1.2007;ambulantní;"rodiny s dítětem/dětmi
Služba je poskytována rodinám s dětmi se zrakovým, mentálním, pohybovým a kombinovaným postižením, poruchami autistického spektra nebo ohrožením vývoje.";služba je poskytována rodinám s dětmi ve věku 0 – 7 let, bez ohledu na věk zákonných zástupců;"počet klientů - 4
Maximální okamžitá kapacita, 1 klient=1 rodina. U skupinových aktivit jemaximální kapacita vyšší.";"pondělí:
8:00 - 17:00
úterý:
8:00 - 17:00
středa:
8:00 - 17:00
čtvrtek:
8:00 - 17:00
pátek:
8:00 - 17:00
sobota:
neděle:";['724400832', 'info@centrumlira.cz', 'www.centrumlira.cz']
raná péče;Raná péče (7118025);Centrum pro dětský sluch Tamtam, o.p.s.;Hábova 1571/22, Praha 13-Stodůlky, 155 00 Praha 515;499811;Raná péče pro Moravu a Slezko;Mgr. Anna Kučerová, Ph.D.;Jungmannova 25, Olomouc, 772 00 Olomouc 2;1.1.2005;ambulantní;"osoby se sluchovým postižením
rodiny s dítětem/dětmi";Služba je poskytována rodinám s dětmi se sluchovým postižením ve věku 0-7let, bez ohledu na věk zákonných zástupců.;počet klientů - 1;"pondělí:
úterý:
9:00 - 15:00 - a dále dle domluvy v rámci provozní doby terénní služby
středa:
čtvrtek:
pátek:
sobota:
neděle:";['739642677', 'ranapecemorava@detskysluch.cz', 'www.detskysluch.cz']
raná péče;Raná péče (5002625);Centrum pro dětský sluch Tamtam, o.p.s.;Hábova 1571/22, Praha 13-Stodůlky, 155 00 Praha 515;499811;Raná péče Čechy;Mgr. Martina Péčová;Hábova 1571/22, Praha 13-Stodůlky, 155 00 Praha 515;1.1.2001;ambulantní;"osoby se sluchovým postižením
rodiny s dítětem/dětmi";Služba je poskytována rodinám s dětmi se sluchovým postižením ve věku 0-7 let, bez ohledu na věk zákonných zástupců.;počet klientů - 2;"pondělí:
úterý:
středa:
čtvrtek:
9:00 - 15:00 - a dále dle domluvy v rámci provozní doby terénní služby
pátek:
sobota:
neděle:";['251510744', 'ranapececechy@detskysluch.cz', 'www.detskysluch.cz']
raná péče;Raná péče (3477720);Centrum sociálních služeb Tloskov;Tloskov 1, 257 56 Neveklov;640841;Centrum sociálních služeb Tloskov;PhDr. Matěj Lipský, Ph.D.;Tloskov 1, 257 56 Neveklov;1.1.2007;ambulantní;"osoby s mentálním postižením
Podpora vývoje dítěte raného věku s ohroženým vývojem (opožděný vývoj), mentálním, tělesným či kombinovaným postižením a jeho rodiny. Služba není určena pro: • osoby závislé na omamných a psychotropních látkách • osoby patologicky závislé na alkoholu. Služba Rané péče je zaměřena na podporu rodiny a podporu vývoje dítěte v přirozeném prostředí.";Služba rané péče podle § 54 zákona č. 108/2006 Sb., o sociálních službách, ve znění pozdějších předpisů je poskytována formou terénní služby v přirozeném prostředí popř. doplněna ambulantní formou služby poskytovanou rodičům dítěte a dítěti ve věku od 0 do 7 let věku.;"počet klientů - 16
Smlouvy o službě rané péče jsou s uživateli a jejich zákonnými zástupci v daný okamžik uzavřeny maximálně pro 16 uživatelů";"pondělí:
8:00 - 15:00, 9:30 - 16:30 - pracoviště Benešov - každý sudý týden
úterý:
8:00 - 15:00
středa:
8:00 - 15:00
čtvrtek:
8:00 - 15:00
pátek:
8:00 - 15:00
sobota:
neděle:";['317740111', 'centrum@tloskov.cz', 'http://www.tloskov.cz']
