primary,query,provider,locale,latitude,longitude,bounds_south,bounds_east,bounds_west,bounds_north,streetNumber,streetName,city,zipcode,cityDistrict,county,countyCode,region,regionCode,country,countryCode,timezone,exceptionMessage
bd6f48910199cabe23d0355d2946fc48,"Brandlova 1267/6, Moravská Ostrava, 702 00",nominatim,en,49.8329102,18.2848826,49.8328602,18.2849326,18.2848326,49.8329602,1267/6,Brandlova,Ostrava,70200,Moravská Ostrava,okres Ostrava-město,,Moravia-Silesia,,Czechia,CZ,,
12aaacdf409340b6528b7d11bdf9f2f8,"Jírovcova 1339/43, České Budějovice 3, 370 01",nominatim,en,48.9818075,14.477319,48.9817575,14.477369,14.477269,48.9818575,1339/43,Jírovcova,České Budějovice,37001,České Budějovice 3,okres České Budějovice,,Southwest,,Czechia,CZ,,
a30dc28ebe66398edfe9142f0dab599e,"U Hvízdala 1402/9, České Budějovice 2, 370 11 ",nominatim,en,48.9981504,14.4444047,48.9981004,14.4444547,14.4443547,48.9982004,1402/9,U Hvízdala,České Budějovice,37011,České Vrbné,okres České Budějovice,,Southwest,,Czechia,CZ,,
dd65506278c7a701aba5518c23d78060,"Plzeňská 2219/44, České Budějovice 3, 370 04 ",nominatim,en,48.9923178,14.4619938,48.9922678,14.4620438,14.4619438,48.9923678,2219/44,Plzeňská,České Budějovice,37004,České Budějovice 3,okres České Budějovice,,Southwest,,Czechia,CZ,,
02fba225570dd6c4c69f3690442e3f23,"Nemocniční 945, Vsetín",nominatim,en,49.3340211,17.9986027,49.3339711,17.9986527,17.9985527,49.3340711,945,Nemocniční,Vsetín,75501,Vsetín,okres Vsetín,,Central Moravia,,Czechia,CZ,,
48e50012e7c70cabeaf6345707849aed,třída Edvarda Beneše 1549/34,nominatim,en,50.1961717,15.8377313,50.1961217,15.8377813,15.8376813,50.1962217,1549/34,třída Edvarda Beneše,Hradec Králové,50012,Nový Hradec Králové,okres Hradec Králové,,Northeast,,Czechia,CZ,,
fc58720cc53c07bcc5c83899dd2e5f13,Matoušova 406/20,nominatim,en,50.7644535,15.0480903,50.7644035,15.0481403,15.0480403,50.7645035,406/20,Matoušova,Liberec,46007,Liberec,okres Liberec,,Northeast,,Czech Republic,CZ,,
38fcc843831e108cb22e09e3da8dc92b,"Jungmannova 25, Olomouc, 772 00",nominatim,en,49.5898543,17.2713759,49.5898043,17.2714259,17.2713259,49.5899043,972/25,Jungmannova,Olomouc,77900,Hodolany,okres Olomouc,,Central Moravia,,Czechia,CZ,,
c62f8758c56deb2f03785f8597314713,"Hábova 1571/22, Praha 13-Stodůlky, 155 00",nominatim,en,50.0461576,14.3117768,50.0459683,14.3123796,14.3116674,50.0463591,1571/22,Hábova,Prague,15500,Stodůlky,okres Hlavní město Praha,,Prague,,Czechia,CZ,,
06cea5f2eb89543d9ba0dee94787e2ad,"Tloskov 1, 257 56 Neveklov",nominatim,en,49.7608806,14.5278453,49.7608306,14.5278953,14.5277953,49.7609306,,,Neveklov,257 56,Neveklov,okres Benešov,,Central Bohemia,,Czechia,CZ,,
331ee7c3eabebbcf207b087218ff907f,"Mírová 2820/2, Severní Terasa",nominatim,en,50.6830922,14.0314481,50.6830422,14.0314981,14.0313981,50.6831422,2820/2,Mírová,Ústí nad Labem,40011,Ústí nad Labem,okres Ústí nad Labem,,Northwest,,Czech Republic,CZ,,
f77d5d36c5f25211530c1fa4043d627a,"Na Stavidle 1266, Uherské Hradiště, 686 01",nominatim,en,49.0702026,17.454915,49.0701526,17.454965,17.454865,49.0702526,1266,Na Stavidle,Uherské Hradiště,68601,Uherské Hradiště,okres Uherské Hradiště,,Central Moravia,,Czech Republic,CZ,,
83ab1f6c61a66dbd2746a0f003ee2a20,"Machatého 683/10, Praha 5-Hlubočepy",nominatim,en,50.0330855,14.3762368,50.0330355,14.3762868,14.3761868,50.0331355,683/10,Machatého,Prague,15200,Hlubočepy,okres Hlavní město Praha,,Prague,,Czechia,CZ,,
af4ec5b24643f67d472492a7e3d6ce8f,"Komenského 616, Vrchlabí, 543 01",nominatim,en,50.6186888,15.6087184,50.6186832,15.6088862,15.6085812,50.618779,,Komenského,Vrchlabí,54301,Vrchlabí,okres Trutnov,,Northeast,,Czech Republic,CZ,,
0a7a1f504d11ed324d7209b4b817cc02,"Vltavínská 1402, Horka-Domky, 674 01",nominatim,en,49.2055604,15.8796397,49.2054725,15.8796811,15.8796303,49.2059452,,Vltavínská,Třebíč,674 01,Třebíč,okres Třebíč,,Southeast,,Czechia,CZ,,
7760d0798ba8a95544f0374f354d6f58,"Vídeňská 11/127, Brno-jih, Přízřenice, 619 00",nominatim,en,49.1433858,16.6032898,49.1433358,16.6033398,16.6032398,49.1434358,11/127,Vídeňská,Brno,61900,Přízřenice,okres Brno-město,,Southeast,,Czechia,CZ,,
2a8a1739275f21e67669c2e6777c8d8e,"Filipova 2013/1, Praha 11-Chodov, 148 00 ",nominatim,en,50.031871,14.4833335,50.031821,14.4833835,14.4832835,50.031921,2013/1,Filipova,Prague,14800,Chodov,okres Hlavní město Praha,,Prague,,Czechia,CZ,,
4671fe83b84d5faeb5759d8077954ff2,tř. Dr. Edvarda Beneše 286/5,nominatim,en,49.2571117,14.7212508,49.2570617,14.7213008,14.7212008,49.2571617,286/5,tř. Dr. Edvarda Beneše,Soběslav,39201,Soběslav,okres Tábor,,Southwest,,Czechia,CZ,,
bad36b6ab2141f135f326478898aabc4,"Žilinská 198/26a, Nová Ulice, 779 00",nominatim,en,49.5959704,17.234233,49.5959204,17.234283,17.234183,49.5960204,198/26a,Žilinská,Olomouc,77900,Nová Ulice,okres Olomouc,,Central Moravia,,Czechia,CZ,,
21084f604e7e94900ae4c33e6552f72d,Wilsonova 546/7,nominatim,en,50.2299313,14.0816188,50.2298813,14.0816688,14.0815688,50.2299813,546/7,Wilsonova,Slaný,27401,Slaný,okres Kladno,,Central Bohemia,,Czechia,CZ,,
500dc4992e8ecb1163607772fe7a16eb,"Nový Spálenec 25, Česká Kubice",nominatim,en,49.35756845,12.91037247,49.3450402,12.9179876,12.8757992,49.3702473,,,Česká Kubice,,Nový Spálenec,okres Domažlice,,Southwest,,Czechia,CZ,,
af2d6768945fa1b4f6490a4899d40602,"Žlutická 1694/2, Plzeň 1-Bolevec",nominatim,en,49.7773979,13.3616104,49.7773479,13.3616604,13.3615604,49.7774479,1694/2,Žlutická,Plzeň,32300,Bolevec,okres Plzeň-město,,Southwest,,Czech Republic,CZ,,
dc0d15242af76a94ac77fe7c8330a0bf,"Písecká 1967/5, Praha 3-Vinohrady",nominatim,en,50.0763222,14.4648255,50.0762722,14.4648755,14.4647755,50.0763722,1967/5,Písecká,Prague,13000,Vinohrady,okres Hlavní město Praha,,Prague,,Czechia,CZ,,
81227cb13b55e6968a04e557fc6a9eb8,"Vsetínská 527/20, Brno",nominatim,en,49.177463,16.5982668,49.177413,16.5983168,16.5982168,49.177513,527/20,Vsetínská,Brno,63900,Štýřice,okres Brno-město,,Southeast,,Czechia,CZ,,
