id_skolky;nazev_webovy;ulice;mesto;psc;kraj;lat;lng;tag;url_page;typ_webovy_1;vek;Typ postizeni;mail;web;kontakt
67;91. mateřská škola Plzeň;Jesenická 11;Plzeň;32300;pl;49.77891540527344;13.37247848510742;rejstříková;91-materska-skola-plzen-jesenicka-11-plzen;Městská;;;;;
76;Centrum BAZALKA - Základní škola speciální a Mateřská škola speciální;U Jeslí 198/13;České Budějovice;37001;jc;48.97721862792969;14.49364376068115;rejstříková;centrum-bazalka-zakladni-skola-specialni-a-materska-skola-specialni-u-jesli-198-13-ceske-budejovice;Soukromá;;;;;
94;Dětské integrační centrum a mateřská škola;Hurbanova 1285;Praha 4;14200;ph;50.02416229248047;14.45419692993164;rejstříková;detske-integracni-centrum-a-materska-skola-hurbanova-1285-praha-4;Soukromá;;;;;
95;Dětský diagnostický ústav a SVP Liberec;U Opatrovny 3;Liberec;46001;lb;50.76175308227539;15.05540275573730;rejstříková;detsky-diagnosticky-ustav-a-svp-liberec-u-opatrovny-3-liberec;Státní MŠMT;;;;;
96;Dětský domov a Mateřská škola speciální;Mládeže 1102;Beroun;26601;sc;49.95432662963867;14.05029964447021;rejstříková;detsky-domov-a-materska-skola-specialni-mladeze-1102-beroun;Veřejná;;;;;
97;Dětský domov a Mateřská škola;třída Masarykova 246;Broumov;55001;hk;50.58855056762695;16.32771301269531;rejstříková;detsky-domov-a-materska-skola-trida-masarykova-246-broumov;Veřejná;;;;;
98;Dětský domov, Mateřská a Základní škola;Lazy 3695;Zlín;76001;zl;49.22036361694336;17.67644119262695;rejstříková;detsky-domov-materska-a-zakladni-skola-lazy-3695-zlin;Veřejná;;;;;
99;Dětský domov, Mateřská a Základní škola;Šobrova 111;Písek;39701;jc;49.30418395996094;14.16529941558838;rejstříková;detsky-domov-materska-a-zakladni-skola-sobrova-111-pisek;Veřejná;;;;;
100;Dětský domov, Mateřská a Základní škola;;Krompach 47;47157;lb;50.82828903198242;14.70244598388672;rejstříková;detsky-domov-materska-a-zakladni-skola-krompach-47;Obecní;;;;;
106;Fakultní mateřská škola se speciální péčí;Arabská 20/681;Praha 6 - Vokovice;16000;ph;50.09856414794922;14.35748767852783;rejstříková;fakultni-materska-skola-se-specialni-peci-arabska-20-681-praha-6-vokovice;Městská;;;;;
113;Gymnázium, základní škola a Mateřská škola pro sluchově postižené;Ječná 27/530;Praha 2;12000;ph;50.07585906982422;14.42514038085938;rejstříková;gymnazium-zakladni-skola-a-materska-skola-pro-sluchove-postizene-jecna-27-530-praha-2;Veřejná;;;;;
238;Mateřská škola A & T;U Bečvy 2883/2;Přerov;75000;ol;49.45268630981445;17.40899658203125;rejstříková;materska-skola-a-t-u-becvy-2883-2-prerov;Soukromá;;;;;
